,year,genre_label,ct,lexp,genre,yoc
0,1910,Ballet_(music),3,3,3,3
1,1910,Classical_music,3,3,3,3
2,1910,Opera,2,2,2,2
3,1910,Romantic_music,4,4,4,4
4,1911,Classical_music,4,4,4,4
5,1911,Jazz,1,1,1,1
6,1911,Popular_music,1,1,1,1
7,1911,Romantic_music,1,1,1,1
8,1912,Christmas_carol,1,1,1,1
9,1912,Classical_music,3,3,3,3
10,1912,Popular_music,3,3,3,3
11,1914,Ballet_(music),2,2,2,2
12,1914,Christmas_carol,1,1,1,1
13,1914,Classical_music,2,2,2,2
14,1914,Hymn,3,3,3,3
15,1914,National_anthem,4,4,4,4
16,1914,Opera,2,2,2,2
17,1914,Popular_music,5,5,5,5
18,1915,Blues,1,1,1,1
19,1915,Christmas_carol,1,1,1,1
20,1915,Classical_music,6,6,6,6
21,1915,Hymn,7,7,7,7
22,1915,Jazz,1,1,1,1
23,1915,National_anthem,5,5,5,5
24,1915,Opera,1,1,1,1
25,1915,Popular_music,9,9,9,9
26,1916,Blues,1,1,1,1
27,1916,Christmas_carol,2,2,2,2
28,1916,Classical_music,3,3,3,3
29,1916,Jazz,1,1,1,1
30,1916,National_anthem,2,2,2,2
31,1916,Opera,1,1,1,1
32,1916,Popular_music,7,7,7,7
33,1917,Blues,4,4,4,4
34,1917,Christmas_carol,1,1,1,1
35,1917,Classical_music,6,6,6,6
36,1917,Hymn,3,3,3,3
37,1917,National_anthem,2,2,2,2
38,1917,Opera,2,2,2,2
39,1917,Popular_music,3,3,3,3
40,1918,Classical_music,4,4,4,4
41,1918,Hymn,2,2,2,2
42,1918,National_anthem,6,6,6,6
43,1918,Opera,1,1,1,1
44,1918,Popular_music,5,5,5,5
45,1919,Classical_music,2,2,2,2
46,1919,Hymn,1,1,1,1
47,1919,Popular_music,1,1,1,1
48,1920,Ballet_(music),4,4,4,4
49,1920,Classical_music,3,3,3,3
50,1920,Opera,1,1,1,1
51,1921,Ballet_(music),2,2,2,2
52,1921,Blues,2,2,2,2
53,1921,Classical_music,4,4,4,4
54,1922,Classical_music,3,3,3,3
55,1922,Jazz,2,2,2,2
56,1922,Opera,4,4,4,4
57,1923,Ballet_(music),3,3,3,3
58,1923,Blues,1,1,1,1
59,1923,Classical_music,10,10,10,10
60,1923,Jazz,4,4,4,4
61,1923,Opera,1,1,1,1
62,1924,Ballet_(music),6,6,6,6
63,1924,Blues,1,1,1,1
64,1924,Classical_music,13,13,13,13
65,1924,Opera,4,4,4,4
66,1924,Popular_music,1,1,1,1
67,1924,Romantic_music,2,2,2,2
